FIPS,Class,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Libertarian,Green,Constitution,Independent American,Reform,Peace and Justice,Natural Law,Write-ins,State1,State2,State3,State4,State5,State6,State7
fips,class,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
4001,1,Apache,County,31936,19901,11283,0,0,675,0,0,0,0,0,73,1,3,0,0,0,0,0
4003,1,Cochise,County,58225,23347,33184,0,12,1562,0,0,0,0,0,109,3,1,5,0,1,1,0
4005,1,Coconino,County,69563,42924,24825,0,6,1721,0,0,0,0,0,78,1,4,3,0,1,0,0
4007,1,Gila,County,27372,9330,17433,0,0,564,0,0,0,0,0,44,0,0,1,0,0,0,0
4009,1,Graham,County,15007,4235,10385,0,0,373,0,0,0,0,0,14,0,0,0,0,0,0,0
4011,1,Greenlee,County,3289,1102,2078,0,1,103,0,0,0,0,0,5,0,0,0,0,0,0,0
4012,1,La Paz,County,7522,2292,4998,0,0,219,0,0,0,0,0,13,0,0,0,0,0,0,0
4013,1,Maricopa,County,2034256,1045766,940465,0,384,43852,0,0,0,0,0,3608,52,57,55,6,10,1,0
4015,1,Mohave,County,108656,26578,79494,0,9,2398,0,0,0,0,0,169,3,1,2,1,1,0,0
4017,1,Navajo,County,50557,22173,27218,0,6,1078,0,0,0,0,0,81,0,0,1,0,0,0,0
4019,1,Pima,County,506474,298751,193021,0,54,13859,0,0,0,0,0,732,12,26,14,2,3,0,0
4021,1,Pinal,County,207654,86674,115595,0,32,4622,0,0,0,0,0,713,3,5,5,1,4,0,0
4023,1,Santa Cruz,County,18966,11986,6370,0,0,596,0,0,0,0,0,11,0,1,0,0,2,0,0
4025,1,Yavapai,County,147869,52077,93200,0,20,2555,0,0,0,0,0,0,7,4,4,2,0,0,0
4027,1,Yuma,County,67206,29199,36212,0,11,1691,0,0,0,0,0,88,0,1,2,0,2,0,0
6001,1,Alameda,County,636760,489039,147721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6003,1,Alpine,County,725,463,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,1,Amador,County,21988,7454,14534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6007,1,Butte,County,91609,42417,49192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6009,1,Calaveras,County,26065,8956,17109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6011,1,Colusa,County,6907,2436,4471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6013,1,Contra Costa,County,508414,343169,165245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6015,1,Del Norte,County,10301,4217,6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6017,1,El Dorado,County,110397,45734,64663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6019,1,Fresno,County,315071,148396,166675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6021,1,Glenn,County,10236,3122,7114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6023,1,Humboldt,County,63033,40240,22793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6025,1,Imperial,County,53020,26441,26579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6027,1,Inyo,County,8807,4134,4673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6029,1,Kern,County,275959,107501,168458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6031,1,Kings,County,40579,15225,25354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6033,1,Lake,County,26198,12797,13401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
